EEID,Full Name,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary,Bonus %,Country,City,Exit Date
E02387,Emily Davis,Sr. Manger,IT,Research & Development,Female,Black,55,4/8/2016,"$141,604 ",15% ,United States,Seattle,10/16/2021
E04332,Luke Martin,Analyst,Finance,Manufacturing,Male,Black,25,5/16/2020,"$41,336 ",0% ,United States,Miami,5/20/2021
E03496,Robert Yang,Sr. Analyst,Accounting,Speciality Products,Male,Asian,31,11/4/2017,"$97,078 ",0% ,United States,Austin,3/9/2020
E01754,Owen Lam,Sr. Business Partner,Human Resources,Speciality Products,Male,Asian,30,5/29/2017,"$86,317 ",0% ,China,Chengdu,7/16/2017
E00502,Natalia Salazar,Sr. Analyst,Accounting,Manufacturing,Female,Latino,44,1/2/2019,"$74,691 ",0% ,Brazil,Manaus,7/8/2020
E04000,Skylar Carrillo,Engineering Manager,Engineering,Corporate,Female,Latino,44,12/18/2008,"$92,753 ",13% ,United States,Austin,6/24/2021
E00436,Everly Walker,HRIS Analyst,Human Resources,Speciality Products,Female,Caucasian,41,10/23/2009,"$54,415 ",0% ,United States,Seattle,1/22/2014
E02966,William Foster,Field Engineer,Engineering,Manufacturing,Male,Caucasian,58,5/23/2002,"$76,354 ",0% ,United States,Phoenix,9/26/2021
E01540,Miles Salazar,IT Coordinator,IT,Manufacturing,Male,Latino,36,12/23/2010,"$53,215 ",0% ,Brazil,Sao Paulo,3/27/2014
E04474,Mila Hong,Test Engineer,Engineering,Research & Development,Female,Asian,30,5/22/2017,"$86,858 ",0% ,China,Chongqing,10/8/2017
E00416,Everleigh Fernandez,Director,Engineering,Research & Development,Female,Latino,30,5/22/2016,"$189,702 ",28% ,Brazil,Manaus,12/21/2020
E00440,Jack Huynh,Manager,Marketing,Research & Development,Male,Asian,27,9/25/2018,"$114,441 ",10% ,China,Chongqing,12/22/2019
E01261,Connor Simmons,Analyst II,Accounting,Speciality Products,Male,Caucasian,55,4/5/2007,"$52,310 ",0% ,United States,Miami,10/12/2018
E03131,Ezekiel Reed,Sr. Manger,IT,Manufacturing,Male,Caucasian,37,2/25/2014,"$128,984 ",12% ,United States,Miami,5/1/2021
E00431,Skylar Doan,Sr. Business Partner,Human Resources,Research & Development,Female,Asian,58,8/21/1994,"$93,102 ",0% ,United States,Seattle,12/13/2013
E02639,Hadley Parker,Vice President,Marketing,Corporate,Female,Black,30,9/21/2016,"$221,217 ",32% ,United States,Columbus,9/25/2017
E02813,Kai Chow,Engineering Manager,Engineering,Corporate,Male,Asian,45,4/12/2001,"$95,743 ",15% ,United States,Austin,1/15/2010
